Books,Start,End,Pages,Words,Author - First Name,Author - Last Name,Author - Gender,Author - Race,Author - Ethnicity,Author - Nationality,Series,Place in Series,Genre,Publisher ,Year Written,Color,Rating,Source,Format
Book Lovers,07/18/2022,07/20/2022,373,"114,816",Emily,Henry,Female,White,NHO,American,NONE,NONE,Romance-Fiction,Berkley,2022,Blue,5,SLCL,Paperback
Heir of Fire,07/20/2022,07/23/2022,562,"168,935",Sarah J.,Maas,Female,White,NHO,American,Throne of Glass,3,Fantasy-Fiction,Bloomsbury Publishing,2014,Green,4,SLCL,Hardcover
The Hacienda,07/26/2022,07/31/2022,337,"105,248",Isabel,Cañas,Female,White,HO,Mexican-American,NONE,NONE,Horror-Fiction,Berkley,2022,Brown,4,SLCL,Hardcover
The Assassin's Blade,08/01/2022,08/05/2022,435,"133,952",Sarah J.,Maas,Female,White,NHO,American,Throne of Glass,0,Fantasy-Fiction,Bloomsbury Publishing,2014,Indigo,4,SLCL,Hardcover
Sea of Tranquility,08/05/2022,08/07/2022,255,"76,245",Emily St. John,Mendel,Female,White,NHO,Canadian,NONE,NONE,Science-Fiction,Knopf,2022,Dark Green,5,SLCL,Hardcover
The Night Circus,08/08/2022,08/11/2022,387,"115,713",Erin,Morgenstern,Female,White,NHO,American,NONE,NONE,Magical Realism-Fiction,Doubleday,2011,Red,4,SLCL,Hardcover
Queen of Shadows,08/13/2022,08/17/2022,645,"193,752",Sarah J.,Maas,Female,White,NHO,American,Throne of Glass,4,Fantasy-Fiction,Bloomsbury Publishing,2015,Light Red,4,SLCL,Hardcover
"Tomorrow, and Tomorrow, and Tomorrow",08/20/2022,08/22/2022,397,"124,384",Gabrielle,Zevin,Female,Asian,NHO,Korean-American,NONE,NONE,Contemporary-Fiction,Knopf,2022,Mint Green,5,SLCL,Hardcover
Beach Read,08/23/2022,08/26/2022,358,"107,939",Emily,Henry,Female,White,NHO,American,NONE,NONE,Romance-Fiction,Berkley,2020,Orange,4,Owned,Paperback
Empire of Storms,08/27/2022,08/30/2022,689,"206,011",Sarah J.,Maas,Female,White,NHO,American,Throne of Glass,5,Fantasy-Fiction,Bloomsbury Publishing,2016,Teal,4,SLCL,Hardcover
"Babel, Or the Necessity of Violence: An Arcane History of the Oxford Translators' Revolution",09/01/2022,09/05/2022,542,"162,955",R.F.,Kuang,Female,Asian,NHO,Chinese-American,NONE,NONE,Fantasy-Fiction,Harper Voyager,2022,Black,5,SLCL,Hardcover
Young Jane Young,09/07/2022,09/10/2022,294,"87,906",Gabrielle,Zevin,Female,Asian,NHO,Korean-American,NONE,NONE,Contemporary-Fiction,Algonquin Books,2017,Gold,4,SLCL,Hardcover
People We Meet on Vacation,09/11/2022,09/13/2022,361,"111,527",Emily,Henry,Female,White,NHO,American,NONE,NONE,Romance-Fiction,Berkley,2021,Green,5,Owned,Paperback
I'm Glad My Mom Died,09/14/2022,09/16/2022,304,"95,608",Jennette,McCurdy,Female,White,NHO,American,NONE,NONE,Memoir-Nonfiction,Simon & Schuster,2022,Pink,5,SLCL,Hardcover
Tower of Dawn,09/17/2022,09/22/2022,660,"197,340",Sarah J.,Maas,Female,White,NHO,American,Throne of Glass,6,Fantasy-Fiction,Bloomsbury Publishing,2017,Gray,5,SLCL,Hardcover
Lessons in Chemistry,09/23/2022,09/25/2022,386,"119,600",Bonnie,Garmus,Female,White,NHO,American,NONE,NONE,Historical-Fiction,Doubleday,2022,Pink,5,SLCL,Hardcover
Carrie Soto is Back,09/26/2022,09/28/2022,364,"114,816",Taylor Jenkins,Reid,Female,White,NHO,American,NONE,NONE,Historical-Fiction,Ballantine Books,2022,Yellow,4,SLCL,Hardcover
Love on the Brain,10/01/2022,10/02/2022,350,"110,032",Ali,Hazelwood,Female,White,NHO,American,NONE,NONE,Romance-Fiction,Berkley Books,2022,Magenta,4,SLCL,Paperback
The House with the Golden Door,10/04/2022,10/07/2022,452,"141,128",Elodie,Harper,Female,White,NHO,British,The Wolf Den,2,Historical-Fiction,Head of Zeus,2022,Blue,5,SLCL ,Hardcover
